machine_id,job_1,op_seq_1,start_1,end_1,job_2,op_seq_2,start_2,end_2
4,5,57,1692.0,1715.0,4,71,1697.0,1701.0
4,5,69,2126.0,2184.0,6,49,2160.0,2164.0
15,0,2,517.0,521.0,9,19,519.0,521.0
15,9,59,1284.0,1286.0,1,12,1285.0,1289.0
15,1,22,1537.0,1540.0,3,57,1537.0,1541.0
21,1,10,468.0,1224.0,6,30,917.0,1690.0
22,1,0,158.0,178.0,6,0,173.0,189.0
22,6,20,640.0,680.0,4,16,653.0,667.0
22,0,55,1887.0,1923.0,3,78,1902.0,1912.0
36,10,49,1462.0,1464.0,2,70,1463.0,1465.0
36,10,55,1625.0,1629.0,9,78,1628.0,1630.0
37,7,4,138.0,168.0,11,2,157.0,160.0
37,7,8,261.0,281.0,10,1,280.0,283.0
37,7,12,372.0,400.0,8,11,397.0,408.0
37,4,4,461.0,464.0,7,14,462.0,476.0
37,7,14,462.0,476.0,5,8,473.0,477.0
37,7,20,597.0,617.0,2,22,597.0,600.0
37,8,37,969.0,973.0,0,18,970.0,973.0
37,0,34,1403.0,1406.0,8,59,1405.0,1416.0
37,2,88,1770.0,1773.0,4,74,1772.0,1775.0
37,10,79,2245.0,2249.0,6,53,2247.0,2251.0
38,10,104,2872.0,2884.0,11,64,2877.0,2879.0
51,8,32,833.0,880.0,9,36,843.0,845.0
51,8,76,1769.0,1791.0,9,84,1772.0,1776.0
51,8,76,1769.0,1791.0,11,18,1777.0,1784.0
