machine_id,port_name,E_min,buffer_time,ship_name,mode
6,KUMAI,0.8,2,KM.AWU,alur
6,KUMAI,0.8,2,KM.KELIMUTU,alur
6,KUMAI,0.8,2,KM.LAWIT,alur
9,WAINGAPU,1.5,0,KM.EGON,sandar
15,MAKASSAR,1.0,0,KM.CIREMAI,sandar
15,MAKASSAR,1.0,0,KM.DOBONSOLO,sandar
17,BONTANG,1.5,0,KM.EGON,sandar
19,BATULICIN,1.7,0,KM.EGON,sandar
30,PONTIANAK,1.1,2,KM.BUKITRAYA,alur
30,PONTIANAK,1.1,2,KM.KELIMUTU,alur
37,AMBON,0.0,0,KM.CIREMAI,sandar
38,SORONG,1.0,0,KM.CIREMAI,sandar
38,SORONG,1.0,0,KM.DOBONSOLO,sandar
40,JAYAPURA,1.0,0,KM.CIREMAI,sandar
40,JAYAPURA,1.0,0,KM.DOBONSOLO,sandar
41,MANOKWARI,0.0,0,KM.DOBONSOLO,sandar
55,LEMBAR,0.9,0,KM.EGON,sandar
59,SAMPIT,2.4,4,KM.LAWIT,alur
60,BATAM,1.0,1,KM.KELUD,alur
69,TIMIKA,1.2,2,KM.LEUSER,alur
69,TIMIKA,1.2,2,KM.SIRIMAU,alur
69,TIMIKA,1.2,2,KM.TATAMAILAU,alur
70,AGATS,1.5,2,KM.LEUSER,alur
70,AGATS,1.5,2,KM.SIRIMAU,alur
70,AGATS,1.5,2,KM.TATAMAILAU,alur
71,MERAUKE,4.0,2,KM.LEUSER,alur
71,MERAUKE,4.0,2,KM.SIRIMAU,alur
71,MERAUKE,4.0,2,KM.TATAMAILAU,alur
