Run,CAOA_Fitness,GWO_Fitness
1,68615.9,68739.5
2,68703.6,68774.0
3,68712.5,68729.2
4,68697.7,68722.9
5,68675.6,68657.4
6,68732.2,68758.4
7,68620.59999999999,68689.2
8,68706.40000000001,68648.5
9,68691.9,68671.0
10,68721.9,68764.1
11,68651.0,68767.6
12,68615.9,68724.6
13,68623.9,68607.40000000001
14,68608.6,68760.5
15,68708.5,68724.6
16,68689.2,68694.2
17,68630.8,68607.40000000001
18,68683.3,68657.4
19,68687.7,68722.8
20,68700.49999999999,68730.1
21,68705.2,68731.09999999999
22,68724.59999999999,68739.90000000001
23,68704.29999999999,68768.0
24,68700.49999999999,68722.8
25,68669.2,68703.79999999999
26,68714.3,68732.8
27,68700.3,68725.59999999999
28,68631.2,68737.1
29,68639.1,68752.9
30,68718.29999999999,68736.99999999999
